asupra,asuprÄƒ,cu,cÄƒtre,cÄƒtrÄƒ,de,dedesubtul,despre,dimprejurul,din,dinaintea,dinapoia,dindÄƒrÄƒtul,dinspre,dintre,dintru,dupe,dupre,dupÄƒ,fÄƒr,fÄƒrÄƒ,la,lÃ¢ngÄƒ,mpotriva,mprejurul,n,naintea,nspre,pe,pentru,per,peste,pintre,prejurul,primprejurul,prin,printre,pro,pÃ¢n,pÃ¢nÄƒ,pÄƒ,pÄƒnÄƒ,spre,sub,Ã®mpotriva,Ã®mprejurul,Ã®n,Ã®naintea,Ã®napoia,Ã®nde,Ã®ndÄƒrÄƒtul,Ã®nlÄƒuntrul,Ã®nspre,Ã®ntre,Ã®ntru,Ã®nÄƒuntrul,authorCode
0.00017197,0,0.0161651,0.00017197,0,0.0412726,0,0.0027515,0,0.00739467,0,0,0,0,0,0,0,0,0.00326741,0,0.00085985,0.0130696,0.00068788,0,0,0.0022356,0,0,0.0178848,0.00120378,0,0.00137575,0,0,0,0.00257954,0,0,0,0.00395529,0,0,0.00085985,0.00068788,0,0,0.0158211,0.00085985,0,0.00017197,0,0,0,0,0,0,0
0.00061856,0,0.0123711,0,0.00020619,0.0371134,0,0.00020619,0,0.0101031,0,0,0,0,0,0,0,0,0.00412371,0,0.00082474,0.0154639,0.00041237,0,0,0.00474227,0,0,0.0226804,0.00082474,0,0.00123711,0,0,0,0.00123711,0,0,0,0.00453608,0,0,0.00061856,0.00226804,0,0,0.0146392,0,0,0,0,0,0,0,0.00020619,0,0
0,0,0.0266272,0,0.00118343,0.0431953,0,0.00059172,0,0.0112426,0,0,0,0,0.00059172,0,0,0,0.00295858,0,0.00059172,0.0189349,0.00059172,0,0,0.00295858,0,0,0.0159763,0.00118343,0,0.00177515,0,0,0,0.0035503,0,0,0,0.00236686,0,0,0.00177515,0,0,0,0.0159763,0,0,0,0,0,0.00059172,0,0,0,0
0,0,0.0185625,0,0,0.0360458,0,0,0,0.00928124,0.00021584,0,0,0,0,0,0,0,0.00215843,0,0.00280596,0.0168357,0.00172674,0,0,0.00431686,0,0,0.0153248,0.00086337,0,0.00086337,0,0,0,0.00172674,0.00021584,0,0.00021584,0.00237427,0,0,0.00107921,0.00043169,0,0,0.0155407,0.00064753,0,0,0,0,0,0.00043169,0,0,1
0,0,0.0307309,0,0,0.051495,0,0,0,0.00913621,0,0,0,0,0,0,0,0,0.00498339,0,0.00332226,0.0224253,0.00083056,0,0,0.00415282,0,0,0.0224253,0.00083056,0,0,0,0,0,0,0,0,0.00083056,0.00664452,0,0,0.00166113,0.00166113,0,0,0.0207641,0,0,0,0,0,0,0.00166113,0,0,1
0.00117786,0,0.0153121,0,0,0.0176678,0,0,0,0.00353357,0,0,0,0,0,0,0,0,0.00117786,0,0,0.0117786,0,0,0,0.00117786,0,0,0.0188457,0,0,0.00117786,0,0,0,0,0,0,0.00706714,0.00235571,0,0,0,0.00117786,0,0,0.00235571,0,0,0,0,0,0,0,0,0,2
0.00091617,0,0.0155749,0.00045809,0,0.0426019,0,0,0,0.0100779,0,0,0,0,0.00091617,0,0,0,0.00137426,0,0.0032066,0.0169491,0,0,0,0,0,0,0.0132845,0.0100779,0,0,0,0,0,0.00183234,0,0,0,0,0,0,0.00045809,0,0,0,0.0178653,0,0,0,0,0,0,0,0,0,3
0.00088002,0.00029334,0.0117336,0.00088002,0,0.0419478,0,0.00205339,0,0.00880023,0,0,0,0,0,0,0,0,0.00410678,0,0.00176005,0.00938692,0,0,0,0.00029334,0,0,0.00821355,0.00586682,0,0.00058668,0,0,0,0.00557348,0,0,0,0,0,0,0.00088002,0.00058668,0,0,0.0231739,0.00029334,0,0,0,0,0,0.00117336,0,0,3
0,0,0.0337838,0.003003,0,0.0510511,0,0.0015015,0,0.00900901,0,0,0,0,0,0,0,0,0.0045045,0,0.00075075,0.018018,0.00075075,0,0,0,0,0,0.0112613,0.0015015,0,0.00225225,0,0,0,0.00375375,0,0,0,0.00375375,0,0,0,0,0,0,0.0315315,0.00075075,0,0,0,0,0,0,0.00075075,0,3
0,0,0.0132979,0,0,0.0492021,0,0,0,0.0106383,0,0,0,0,0,0,0,0,0.00265957,0,0.00132979,0.00797872,0,0,0,0.00265957,0,0,0.0106383,0,0,0,0,0,0,0.00132979,0,0,0,0.00664894,0,0,0,0.00265957,0,0,0.0212766,0,0,0,0,0,0,0.00265957,0,0,4
0,0,0.0106525,0.00133156,0,0.0286285,0,0,0,0.00932091,0,0,0,0,0,0,0,0,0.00133156,0,0.00332889,0.00798935,0.00133156,0,0,0.00199734,0,0,0.0126498,0.00266312,0,0.00199734,0,0,0,0.00199734,0.00066578,0,0,0.00199734,0,0,0.00332889,0,0,0,0.0233023,0.00133156,0,0,0,0,0,0,0,0,4
0,0,0.0148699,0.00371747,0,0.0594796,0,0,0,0.0148699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148699,0,0,0,0,0,0,0,0,0,0,0.00371747,0,0,0,0,0,0.00371747,0.0371747,0,0,0,0,0,0,0.00371747,0,0,4
0,0,0.0158805,0.0004717,0,0.0355346,0,0.00078616,0,0.00550314,0,0,0,0,0,0,0,0,0.00361635,0,0.0009434,0.0177673,0.00125786,0,0,0.00204403,0,0,0.0127358,0.00361635,0,0.00110063,0,0,0,0.00188679,0,0,0,0.00188679,0,0,0,0.00031447,0,0,0.0149371,0.00031447,0,0.00015723,0,0,0,0,0,0,5
0.00022153,0,0.0172796,0,0,0.0389898,0,0.00044307,0,0.00775366,0.00044307,0,0,0,0,0,0,0,0.00465219,0,0.0013292,0.0188303,0.00088613,0,0,0.00243686,0,0,0.0110766,0.00243686,0,0.00221533,0,0,0,0.00155073,0.00022153,0,0,0.00420913,0,0,0.00110767,0.0006646,0,0,0.0172796,0.00022153,0,0.00022153,0,0,0,0,0,0,5
0,0,0.0151958,0,0,0.0391584,0,0.00058445,0,0.00642899,0,0,0,0,0,0,0,0,0.00116891,0,0.00116891,0.0175336,0,0,0,0.00116891,0,0,0.019287,0.00292227,0,0.00058445,0,0,0,0.00116891,0,0,0,0.00292227,0,0,0.00116891,0.00058445,0,0,0.0140269,0.00058445,0,0,0,0,0,0,0,0,5
0.00099684,0,0.0134574,0.00016614,0,0.0377139,0,0.00016614,0,0.00764247,0.00049842,0,0,0,0,0,0,0,0.00282439,0,0.00232597,0.0171125,0.00066456,0,0,0.00299053,0,0,0.0136235,0.00182755,0,0.00116298,0,0,0,0.00249211,0,0,0,0.00448579,0,0,0.00099684,0,0,0,0.0136235,0.00066456,0,0.00016614,0,0,0,0,0.00016614,0,5
0.00104384,0,0.0156576,0.00156576,0,0.0323591,0,0,0,0.00574113,0,0,0,0,0,0,0,0,0.00521921,0,0.00156576,0.0187891,0.00104384,0,0,0.00156576,0,0,0.019833,0.00052192,0,0.0026096,0,0,0,0.00052192,0,0,0.00052192,0.00469729,0,0,0,0.00052192,0,0,0.0177453,0,0,0,0,0,0,0.00104384,0,0,5
0,0,0.00984529,0,0,0.0407876,0,0,0,0.0021097,0.00140647,0,0,0,0,0,0,0,0.00140647,0,0.00070323,0.0154712,0,0,0,0.00281294,0,0,0.0189873,0.00070323,0,0.00281294,0,0,0,0.00070323,0,0,0.00140647,0.00562588,0,0,0.00070323,0,0,0,0.0112518,0,0,0,0,0,0,0,0,0,5
0.00034435,0,0.0158402,0.00068871,0,0.0309917,0,0,0,0.00413223,0.00068871,0,0,0,0.00034435,0,0,0,0.00550964,0,0.00206612,0.0137741,0.00275482,0,0,0.00447658,0,0,0.017562,0.00275482,0,0.00137741,0,0,0,0,0,0,0,0.00275482,0,0,0,0,0,0,0.00826446,0.00068871,0,0,0,0,0,0.00034435,0.00034435,0,5
0.00037369,0,0.0205531,0,0,0.0362481,0,0.00074738,0,0.00560538,0.00037369,0,0,0,0,0,0,0,0.00336323,0,0.00298954,0.0179372,0.00112108,0,0,0.00112108,0.00037369,0,0.0115844,0.00224215,0,0.00112108,0,0,0,0.00186846,0.00037369,0,0,0.00224215,0,0,0.00074738,0.00074738,0,0.00037369,0.0164425,0.00112108,0,0,0,0,0.00037369,0.00037369,0,0,5
0.00040519,0.00040519,0.0133712,0.00081037,0,0.0433549,0,0,0,0.00526742,0.00081037,0,0,0,0,0,0,0,0.0028363,0,0.00162075,0.0145867,0.00081037,0,0,0.00445705,0,0,0.0158023,0.00243112,0,0.00081037,0,0,0,0.00324149,0.00121556,0,0,0.00243112,0,0,0,0,0,0,0.0141815,0.00081037,0,0,0,0,0,0,0,0,5
0,0,0.0299539,0,0,0.016129,0,0,0,0.00460829,0,0,0,0,0,0,0,0,0.00460829,0,0,0.0207373,0,0,0,0.00230415,0,0,0.0230415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00230415,0,0,0,0.00691244,0,0,0,0,0,0,0,0,0,5
0.00057339,0,0.0206422,0.00172018,0,0.0349771,0,0,0,0.00974771,0,0,0,0,0,0,0,0,0.00286697,0,0,0.018922,0,0,0,0.00344037,0,0,0.0120413,0.00114679,0,0.00172018,0,0,0,0.00229358,0,0,0,0.00172018,0,0,0,0,0,0,0.0206422,0,0,0.00114679,0,0,0,0,0,0,5
0.0003459,0,0.0148737,0,0,0.0446212,0,0,0,0.00553442,0,0,0,0,0,0,0,0,0.00345901,0,0.0006918,0.0186787,0.0006918,0,0,0.0003459,0,0,0.0169491,0.0013836,0,0.0006918,0,0,0,0.0013836,0,0,0,0.00207541,0,0,0.0003459,0.0003459,0,0,0.00968523,0,0,0,0,0,0,0.0003459,0.0003459,0,5
0.000693,0,0.014091,0.000924,0,0.037191,0,0.000924,0,0.004851,0.000231,0,0,0,0,0,0,0,0.00693001,0,0.001386,0.012936,0.002541,0,0,0.00231,0,0,0.01617,0.003003,0,0.000924,0,0,0,0.000693,0,0,0,0.004389,0,0,0.000693,0.000462,0,0.000231,0.016401,0,0,0,0,0,0,0,0,0,5
0,0,0.0151947,0,0,0.0332384,0,0,0,0.00759734,0,0,0,0,0,0,0,0,0.002849,0,0,0.017094,0,0,0,0.002849,0,0,0.014245,0,0,0.00094967,0,0,0,0.00094967,0.00094967,0,0,0,0,0,0,0.00094967,0.002849,0,0.0218424,0.00094967,0,0,0,0,0,0.00189934,0.00094967,0,5
0.00022051,0,0.0123484,0.00044101,0,0.0401323,0,0.00088203,0,0.00507166,0,0,0,0,0.00044101,0,0,0,0.00418964,0,0.00330761,0.0200662,0,0,0,0.00154355,0,0,0.0158765,0.00154355,0,0.00088203,0,0,0,0.00176406,0,0,0,0.00441014,0,0,0,0.00022051,0,0,0.015656,0.00022051,0,0.00022051,0,0,0,0,0,0,5
0,0,0.0112016,0,0,0.0285132,0,0,0,0.00916497,0,0,0,0,0,0,0,0,0.00509165,0,0.00101833,0.0157841,0.00050916,0,0,0.00305499,0,0,0.0188391,0.00050916,0,0.00101833,0,0,0,0.00203666,0,0,0.00050916,0.00356415,0,0,0,0,0,0.00050916,0.0142566,0,0,0,0,0,0,0,0.00050916,0,5
0,0,0.018965,0.00096432,0,0.0388942,0,0.00064288,0,0.00514304,0.00032144,0,0,0,0,0,0,0,0.00546448,0,0.00192864,0.016072,0.00064288,0,0,0.00450016,0,0,0.0144648,0.00128576,0,0.00096432,0,0,0,0.00128576,0,0,0.00064288,0.00385728,0,0,0,0,0,0,0.013179,0,0,0,0,0,0,0,0,0,5
0.00079072,0,0.016078,0.00052715,0,0.0374275,0,0.00026357,0,0.00474433,0.00052715,0,0,0,0,0,0,0,0.0071165,0,0.00131787,0.014233,0.0010543,0,0,0.00184502,0,0,0.0137058,0.00263574,0,0.00079072,0,0,0,0.00052715,0,0,0,0.00289931,0,0,0.00026357,0.00052715,0,0,0.0139694,0.00184502,0,0,0,0,0,0.00026357,0,0,5
0.00067174,0,0.0120914,0.00022391,0,0.0387371,0,0.00022391,0,0.00559785,0.00022391,0,0,0,0.00044783,0,0,0,0.00470219,0,0.0015674,0.0172414,0.00044783,0,0,0.00201523,0,0,0.0154501,0.00201523,0,0.0015674,0,0,0,0.0031348,0,0,0,0.00201523,0,0,0.00089566,0.00067174,0,0,0.0118674,0.00022391,0,0,0,0,0.00022391,0.00067174,0,0,5
0.00067766,0,0.014005,0.00045177,0,0.0413372,0,0.00045177,0,0.00564717,0.00022589,0,0,0,0,0,0,0,0.00429185,0,0.00180709,0.0135532,0.00090355,0,0,0.00384007,0,0,0.0103908,0.00158121,0,0.00361419,0,0,0,0.00316241,0,0,0,0.00293653,0,0,0.00090355,0.00022589,0,0,0.0121979,0,0,0,0,0,0,0.00067766,0.00045177,0,5
0,0,0.00666667,0,0,0.0311111,0,0,0,0.00666667,0,0,0,0,0.00111111,0,0,0,0.00444444,0,0.00333333,0.0133333,0,0,0,0,0,0,0.0144444,0.00444444,0,0.00222222,0,0,0,0.00333333,0,0,0,0.00444444,0,0,0.00111111,0.00111111,0,0,0.02,0,0,0,0,0,0,0,0,0,6
0,0,0.00729927,0,0,0.0364963,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0.0145985,0,0,0,0,0,0,0.00729927,0.0145985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0,6
0,0,0.0125,0,0,0.0303571,0,0,0,0.00357143,0,0,0,0,0,0,0,0,0,0,0.00178571,0.0160714,0,0,0,0,0,0,0.00714286,0.00178571,0,0.00178571,0,0,0,0,0,0,0,0.00714286,0,0,0.00178571,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,7
0,0,0.0123711,0,0,0.043299,0,0,0,0.00618557,0,0,0,0,0,0,0,0,0.00412371,0,0.00206186,0.0123711,0,0,0,0,0,0,0.0123711,0,0,0,0,0,0,0,0,0,0,0.00618557,0,0,0.0103093,0,0,0,0.00824742,0,0,0,0,0,0,0,0,0,7
0,0,0.0159027,0,0,0.0252572,0,0.00093545,0,0.00748363,0,0,0,0.00093545,0.00093545,0,0,0,0.00093545,0,0,0.00748363,0,0,0,0.00280636,0,0,0.0130964,0,0,0,0,0,0,0.00280636,0,0,0,0.00187091,0,0,0.00093545,0.00093545,0.00093545,0,0.0187091,0,0,0,0,0,0,0,0,0,8
0,0,0.0357995,0,0,0.0190931,0,0,0,0.0071599,0,0,0,0,0,0,0,0,0.00238663,0,0,0.0119332,0,0,0,0,0,0,0.0214797,0,0,0.00238663,0,0,0,0,0.00477327,0,0,0,0,0,0,0,0,0,0.0238664,0,0,0,0,0,0,0,0,0,8
0,0,0.0167224,0,0,0.029097,0,0,0,0.00535117,0,0,0,0,0.00033445,0,0,0,0.00367893,0,0.00133779,0.0247492,0,0,0,0.00602007,0,0,0.0130435,0.00367893,0,0.00301003,0,0,0,0.00200669,0,0,0,0.00267559,0,0,0.00100334,0.0006689,0,0,0.0190635,0,0,0,0,0,0,0.00133779,0,0,9
0,0,0.0146108,0,0,0.0368081,0,0,0,0.00618151,0,0,0,0,0.00084293,0,0,0,0.00309076,0,0.00168587,0.0154538,0.00028098,0,0,0.00871031,0,0,0.0151728,0.00702445,0,0.00309076,0,0,0,0.00477662,0.00056196,0,0,0.00140489,0,0,0.00168587,0.00028098,0.00028098,0.00084293,0.0177016,0,0,0,0,0,0,0,0,0,9
